order_item_id,order_id,product_id,quantity,unit_price,total_price
1,1,79,3,318.54,955.6200000000001
2,2,16,2,616.08,1232.16
3,2,159,2,864.71,1729.42
4,2,1,1,630.41,630.41
5,2,55,2,896.0,1792.0
6,2,80,3,939.67,2819.0099999999998
7,3,114,3,322.0,966.0
8,3,126,3,195.83,587.49
9,3,139,3,515.11,1545.33
10,3,155,1,682.16,682.16
11,3,66,3,869.01,2607.0299999999997
12,4,64,3,442.23,1326.69
13,5,136,3,101.62,304.86
14,6,28,3,140.88,422.64
15,6,91,1,335.42,335.42
16,6,189,3,520.04,1560.12
17,6,75,2,960.9,1921.8
18,7,72,1,682.88,682.88
19,7,104,3,824.64,2473.92
20,7,59,1,220.37,220.37
21,7,185,1,31.59,31.59
22,8,67,2,594.26,1188.52
23,8,89,2,418.64,837.28
24,8,111,2,319.72,639.44
25,9,92,1,899.88,899.88
26,10,42,3,908.6,2725.8
27,10,40,2,754.44,1508.88
28,10,48,3,407.64,1222.92
29,11,36,3,440.08,1320.24
30,11,108,1,286.56,286.56
31,11,1,1,630.41,630.41
32,11,33,2,331.69,663.38
33,11,147,2,335.09,670.18
34,12,149,3,161.41,484.23
35,12,39,3,375.47,1126.41
36,12,92,1,899.88,899.88
37,12,200,3,797.68,2393.04
38,13,139,2,515.11,1030.22
39,14,158,3,824.43,2473.29
40,14,44,2,490.16,980.32
41,14,32,3,544.8,1634.3999999999999
42,14,181,2,936.65,1873.3
43,15,97,2,567.59,1135.18
44,15,32,2,544.8,1089.6
45,15,159,2,864.71,1729.42
46,16,57,2,579.72,1159.44
47,16,4,1,219.62,219.62
48,17,78,2,419.83,839.66
49,17,60,3,223.94,671.8199999999999
50,17,121,2,936.97,1873.94
51,17,188,3,336.06,1008.1800000000001
52,17,29,1,666.23,666.23
53,18,55,3,896.0,2688.0
54,18,17,3,34.24,102.72
55,19,85,2,900.56,1801.12
56,19,20,3,366.81,1100.43
57,20,47,1,814.6,814.6
58,21,31,1,374.71,374.71
59,22,118,1,837.38,837.38
60,22,180,2,105.38,210.76
61,22,194,1,26.95,26.95
62,22,79,3,318.54,955.6200000000001
63,23,80,1,939.67,939.67
64,23,9,3,317.9,953.6999999999999
65,24,12,3,56.8,170.39999999999998
66,24,180,1,105.38,105.38
67,24,39,3,375.47,1126.41
68,24,116,2,600.75,1201.5
69,24,7,2,576.53,1153.06
70,25,49,2,40.28,80.56
71,25,56,3,184.33,552.99
72,26,53,3,800.25,2400.75
73,26,149,1,161.41,161.41
74,26,125,3,638.02,1914.06
75,26,132,3,24.46,73.38
76,26,191,3,806.44,2419.32
77,27,24,1,849.66,849.66
78,28,64,2,442.23,884.46
79,28,50,1,285.33,285.33
80,28,119,2,577.1,1154.2
81,29,18,3,718.62,2155.86
82,30,49,3,40.28,120.84
83,30,4,2,219.62,439.24
84,31,41,2,918.22,1836.44
85,31,152,3,93.64,280.92
86,32,108,1,286.56,286.56
